skills,company,location,title
"['Experienced', 'Software Development', ' · Information Technology (IT)', ' · Computer Science', ' · javaScript', 'Python', ' · Flutter', ' · Full Stack', ' · REST API', ' · IT/Software Development', ' · Engineering - Telecom/Technology']",Confidential -,"Cairo, Egypt ",Full-Stack Flutter & Python Developer
"['Experienced', 'Software Development', 'Python', ' · Computer Science', ' · Information Technology (IT)', ' · javaScript', ' · Flask', ' · React', ' · Django', ' · Bottle', ' · Full Stack']",Confidential -,"Cairo, Egypt ",Senior Python (Django) Full Stack Developer (Remote - Part Time)
"['Experienced', 'Python', ' · Django', ' · ORM', 'Web Development', ' · javaScript', ' · HTML5', ' · CSS', ' · Git', ' · Mercurial', ' · SVN']","Nile Bits, LLC","6th of October, Giza, Egypt ",Senior Python Developer
"['Experienced', 'Python', ' · Information Technology (IT)', ' · Computer Science', ' · Django', ' · PostgreSQL', 'Software Development', ' · HTML', ' · SQL', ' · MySQL', ' · javaScript']",AL-Salam Digital Services,"Nasr City, Cairo, Egypt ",Senior Python Developer
"['Entry Level', ' · Docker', ' · Git', ' · Application Security', ' · TLS', ' · SSL', ' · HTTPS', ' · SQL', ' · DevOps', ' · TCP', ' · IP']",Synapse Analytics,"Heliopolis, Cairo, Egypt ",Software Engineer - Backend Development (Python Django)
"['Entry Level', ' · Computer Science', 'Software Development', ' · Software Engineering', ' · JavaScript', ' · jQuery', ' · CSS', ' · HTML', 'Python', ' · Odoo', ' · PHP']",Confidential -,"Nasr City, Cairo, Egypt ",Python Developer
"['Experienced', ' · Django', 'Python', ' · AWS', ' · API', ' · DRF', ' · Computer Science', ' · Information Technology (IT)', ' · Git', 'Development', ' · REST']",Confidential -,"Heliopolis, Cairo, Egypt ",Python Django Developer
"['Experienced', 'Python', ' · Django', ' · Flask', 'Python Developer', ' · Backend', ' · Information Technology (IT)', ' · Computer Science', 'Software Development', ' · Computer Engineering', ' · Engineering']","Bonocle, Inc.","Cairo, Egypt ",Python Backend Developer
"['Experienced', ' · javaScript', 'Python', 'Software Development', ' · Programming', 'Development', ' · Typescript', ' · Webpack', ' · Computer Science', ' · Information Technology (IT)', ' · Design']",Flairstech,"Maadi, Cairo, Egypt ",Python Full Stack Engineer
"['Experienced', ' · Information Technology (IT)', ' · Computer Science', 'Software Development', ' · Angular', ' · SQL', ' · HTML5', 'Web Development', ' · CSS3', 'Python', ' · javaScript']",Div Systems,"Mokattam, Cairo, Egypt ",Full Stack Python Developer
"['Experienced', ' · Pandas', 'Python', ' · Software Engineering', 'Web Development', ' · Numpy', ' · SQL', ' · Database', ' · S3', ' · Git', ' · Data']",Cegedim,"New Cairo, Cairo, Egypt ",Python With Pandas.
"['Experienced', 'Software Development', 'Python', ' · Computer Science', ' · Information Technology (IT)', ' · javaScript', ' · Flask', ' · React', ' · Django', ' · Bottle', ' · IT/Software Development']",Confidential -,"Cairo, Egypt ",Senior Python Developer (Remote - Part Time)
"['Experienced', 'Software Development', ' · Full Stack', ' · Web', ' · Information Technology (IT)', ' · Computer Science', ' · javaScript', ' · PHP', ' · MySQL', ' · React', 'Python']",Conference Organizing Bureau,"Mohandessin, Giza, Egypt ",Full Stack Developer
"['Experienced', ' · Information Technology (IT)', ' · Odoo', ' · Computer Science', 'Python', ' · PostgreSQL', ' · javaScript', ' · HTML', 'Software Development', ' · Django', ' · GIT']",Smart IT,"Nasr City, Cairo, Egypt ",Senior Odoo Development Specialist
"['Experienced', ' · Computer Science', ' · Information Technology (IT)', 'Python', ' · Odoo', 'Software Development', ' · XML', ' · API', ' · Programming', ' · Software', ' · Computer Engineering']",Confidential -,"Victoria, Alexandria, Egypt ",Senior Odoo Developer
